year;competition_name;event_name;distance;time_limit;main_measurement_unit;second_measurement_unit;min_weight;max_weight;weights;deadlift;attempts;max_lifts;lifts_num;implements_num;implements
2009;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2009;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;90.0;90.0;[90.0];;;;;;
2010;Arnold Strongman Classic;Apollon's Wheels;;;reps;;168.0;208.0;[168.0, 208.0];;;5.0;;5.0;
2010;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2010;Arnold Strongman Classic;Dumbbell Press;;120.0;reps;;103.0;103.0;[103.0];;;;;;
2010;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2010;Arnold Strongman Classic;Timber Carry;11.0;;s;m;454.0;454.0;[454.0];;;;;;
2011;Arnold Strongman Classic;Apollon's Wheels;;;kg;;;;;;;;;;
2011;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2011;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2011;Arnold Strongman Classic;Timber Carry;11.0;;s;m;476.0;476.0;[476.0];;;;;;
2011;Arnold Strongman Classic;Dumbbell Press;;;reps;;110.0;110.0;[110.0];;;;;;
2012;Arnold Strongman Classic;Apollon's Wheels;;;kg;;;;;;;;;;
2012;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;116.0;116.0;[116.0];;;;;;
2012;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2012;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2012;Arnold Strongman Classic;Timber Carry;11.0;;s;m;400.0;400.0;[400.0];;;;;;
2013;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2013;Arnold Strongman Classic;Manhood Stones;;;kg;;;;;;;;;;
2013;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2013;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;120.0;120.0;[120.0];;;;;;
2014;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2014;Arnold Strongman Classic;Bale Tote;3.0;;s;m;;;;;;;;;
2014;Arnold Strongman Classic;Timber Carry;11.0;;s;m;400.0;400.0;[400.0];;;;;;
2014;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2014;Arnold Strongman Classic;Cyr Dumbbell;;;reps;;124.0;124.0;[124.0];;;;;;
2015;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2015;Arnold Strongman Classic;Timber Carry;11.0;;s;m;500.0;500.0;[500.0];;;;;;
2015;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Hummer tires;;;;;
2015;Arnold Strongman Classic;Bale Tote;4.0;;s;m;;;;;;;;;
2015;Arnold Strongman Classic;Cyr Dumbbell;;;reps;;124.0;124.0;[124.0];;;;;;
2016;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2016;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2016;Arnold Strongman Classic;Cyr Dumbbell;;;kg;;;;;;;;;;
2016;Arnold Strongman Classic;Bale Tote;4.0;;s;m;;;;;;;;;
2016;Arnold Strongman Classic;Timber Carry;11.0;;s;m;500.0;500.0;[500.0];;;;;;
2017;Arnold Strongman Classic;Bale Tote;4.0;30.0;s;m;;;;;;;;;
2017;Arnold Strongman Classic;Timber Carry;11.0;30.0;s;m;563.0;563.0;[563.0];;;;;;
2017;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2017;Arnold Strongman Classic;Bag Over Bar;4.57;;kg;reps;;;;;;;;;
2017;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2018;Arnold Strongman Classic;Bag Over Bar;4.57;;kg;;;;;;;;;;
2018;Arnold Strongman Classic;Stone to Shoulder;;;reps;;186.0;186.0;[186.0];;;;;;[]
2018;Arnold Strongman Classic;Timber Carry;11.0;;s;m;400.0;400.0;[400.0];;;;;;
2018;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2018;Arnold Strongman Classic;Apollon's Wheels;;;reps;;181.0;181.0;[181.0];;;;;;
2019;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2019;Arnold Strongman Classic;Húsafell Stone;;;m;;186.0;186.0;[186.0];;;;;;
2019;Arnold Strongman Classic;Wheel of Pain;;;m;;;;;;;;;;
2019;Arnold Strongman Classic;Austrian Oak;;;kg;;;;;;;;;;
2019;Arnold Strongman Classic;Stone to Shoulder;;;reps;;186.0;186.0;[186.0];;;;;;
2020;Arnold Strongman Classic;Trial by Stone;;180.0;s;points;125.0;186.0;[125.0, 136.0, 166.0, 181.0, 186.0];;;10;;5;['rock press', 'rock press', 'stone load', 'stone load', 'Húsafell Stone carry  for 15 m  for a total of 10 points']
2020;Arnold Strongman Classic;Bag Over Bar;4.57;;kg;reps;;;;;;;;;
2020;Arnold Strongman Classic;Wheel of Pain;;;m;;;;;;;;;;
2020;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2020;Arnold Strongman Classic;Timber Carry;11.0;30.0;s;m;400.0;400.0;[400.0];;;;;;
2020;Arnold Strongman Classic;Cyr Dumbbell;;;kg;;124.0;150.0;[124.0, 150.0];;;;;;
2022;Arnold Strongman Classic;Max Squat;;;kg;;;;;;3.0;;;;
2022;Arnold Strongman Classic;Dumbbell Press;;90.0;reps;;125.0;125.0;[125.0];;;;;;
2022;Arnold Strongman Classic;Max Log Lift;;;kg;;;;;;3.0;;;;
2022;Arnold Strongman Classic;Timber Carry;10.0;30.0;s;m;400.0;400.0;[400.0];;;;;;
2022;Arnold Strongman Classic;Stone to Shoulder;;;points;;186.0;186.0;[186.0];;;;;;
2023;Arnold Strongman Classic;Wheel of Pain;;60.0;m;;;;;;;;;;
2023;Arnold Strongman Classic;Austrian Oak;;90.0;reps;;175.0;175.0;[175.0];;;;;;
2023;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2023;Arnold Strongman Classic;Steintossen;;;m;;84.0;84.0;[84.0];;;;;;
2023;Arnold Strongman Classic;Timber Carry;11.0;30.0;s;m;400.0;400.0;[400.0];;;;;;
2024;Arnold Strongman Classic;Max Deadlift;;;kg;;;;;Elephant bar;;;;;
2024;Arnold Strongman Classic;Timber Carry;11.0;30.0;s;m;400.0;400.0;[400.0];;;;;;
2024;Arnold Strongman Classic;Webster Stones;;;m;;188.0;188.0;[188.0];;;;;1;['']
2024;Arnold Strongman Classic;Apollon's Wheels;;120.0;reps;;182.0;182.0;[182.0];;;;;;
2024;Arnold Strongman Classic;Stones of Strength;;150.0;s;stones;186.0;186.0;[186.0];;;2;;;
2015;Arnold Australia;Max Deadlift;;;kg;;;;;;;;;;
2015;Arnold Australia;Car Walk;;;s;m;;;;;;;;;
2015;Arnold Australia;Dumbbell Press;;;reps;;90.0;90.0;[90.0];;;;;;
2015;Arnold Australia;Farmer's Walk;;;s;m;;;;;;;;;
2015;Arnold Australia;Max Log Lift;;;kg;;;;;;;;;;
2015;Arnold Australia;Atlas Stones;;;s;stones;;;;;;4;;;
2016;Arnold Africa;Max Deadlift;;;kg;;;;;;;;;;
2016;Arnold Africa;Farmer's Walk;;;;;;;;;;;;;
2016;Arnold Africa;Super Yoke;;;;;;;;;;;;;
2016;Arnold Africa;Truck Pull;;;;;;;;;;;;;
2016;Arnold Africa;Dumbbell Press;;;reps;;115.0;115.0;[115.0];;;;;;
2016;Arnold Asia;Super Yoke;15.0;;s;;500.0;500.0;[500.0];;;;;;
2016;Arnold Asia;Max Log Lift;;;kg;;;;;;;;;;
2016;Arnold Asia;Truck Pull;;;s;;;;;;;;;;
2016;Arnold Asia;Atlas Stones;;;s;reps;;;;;;5;;;
2016;Arnold Asia;Max Deadlift;;;kg;;;;;18-inch axle deadlift;;1;;1;
2016;Arnold Australia;Farmer's Walk;40.0;;s;m;150.0;150.0;[150.0];;;;;;
2016;Arnold Australia;Super Yoke;20.0;;s;m;454.0;454.0;[454.0];;;;;;
2016;Arnold Australia;Natural Stones;;;s;reps;120.0;190.0;[120.0, 190.0];;;4;;4.0;
2016;Arnold Australia;Max Log Lift;;;kg;;;;;;;;;;
2016;Arnold Australia;Max Deadlift;;;kg;;;;;;;;;;
2016;Arnold Australia;Dumbbell Press;;;kg;;;;;;;;;;
2017;Arnold Africa;Truck Pull;;;;;;;;;;;;;
2017;Arnold Africa;Frame Carry;25.0;;;;370.0;370.0;[370.0];;;;;;
2017;Arnold Africa;Max Deadlift;;;kg;;;;;;;;;;
2017;Arnold Africa;Super Yoke;;;;;460.0;460.0;[460.0];;;;;;
2017;Arnold Africa;Stone Over Bar;;;reps;;180.0;180.0;[180.0];;;;;;
2017;Arnold Africa;Log Lift;;;reps;;190.0;190.0;[190.0];;;;;;
2017;Arnold Australia;Super Yoke;;;;;;;;;;;;;
2017;Arnold Australia;Log Lift;;;kg;;;;;;;;;;
2017;Arnold Australia;Frame Carry;;;s;;380.0;380.0;[380.0];;;;;;
2017;Arnold Australia;Max Deadlift;;;kg;;;;;;;;;;
2017;Arnold Australia;Truck Pull;;;s;;;;;;;;;;
2017;Arnold Australia;Atlas Stones;;;s;;160.0;220.0;[160.0, 220.0];;;5.0;;5.0;
2017;Arnold Europe;Log Lift;;60.0;reps;;180.0;180.0;[180.0];;;;;;
2017;Arnold Europe;Frame Carry;25.0;;s;m;400.0;400.0;[400.0];;;;;;
2017;Arnold Europe;Super Yoke;25.0;;s;m;455.0;455.0;[455.0];;;;;;
2017;Arnold Europe;Deadlift;;60.0;reps;;365.0;365.0;[365.0];;;;;;
2017;Arnold Europe;Arm Over Arm Pull;;;s;m;;;;;;;;;
2017;Festival des Hommes Forts de Warwick;Deadlift;;;reps;;;;;Car deadlift, side handles;;;;;[]
2017;Festival des Hommes Forts de Warwick;Dumbbell Press;;75.0;reps;;102.0;102.0;[102.0];;;;;;
2017;Festival des Hommes Forts de Warwick;Keg Toss;4.88;;s;reps;18.0;25.0;[18.0, 25.0];;;8;;1;['']
2017;Festival des Hommes Forts de Warwick;Squat Lift;;;reps;;320.0;320.0;[320.0];;;;;;
2017;Festival des Hommes Forts de Warwick;Atlas Stones;;;s;reps;104.0;181.0;[104.0, 181.0];;;5;;5.0;
2017;Festival des Hommes Forts de Warwick;Truck Pull;;;;;;;;;;;;;
2017;Festival des Hommes Forts de Warwick;Viking Press;;;reps;;;;;;;;;;
2017;Festival des Hommes Forts de Warwick;Farmer's Walk;;;;s;;;;;;;;;
2017;Festival des Hommes Forts de Warwick;Power Stairs;;;;;;;;;;;;;
2017;Festival des Hommes Forts de Warwick;Medley;;;;;;;;;;;;;
2018;Arnold Africa;Deadlift;;;reps;;360.0;360.0;[360.0];Car deadlift;;;;;
2018;Arnold Africa;Super Yoke;24.0;;s;m;450.0;550.0;[450.0, 550.0];;;;;2;['', '']
2018;Arnold Africa;Arm Over Arm Pull;;;s;;;;;;;;;;
2018;Arnold Africa;Farmer's Walk;20.0;;s;m;185.0;185.0;[185.0];;;;;;
2018;Arnold Africa;Stone Over Bar;;;reps;;220.0;220.0;[220.0];;;;;;
2018;Arnold Africa;Axle Press;;;reps;;180.0;180.0;[180.0];;;;;;
2018;Arnold Australia;Squat Lift;;;reps;;320.0;320.0;[320.0];;;;;;
2018;Arnold Australia;Log Lift;;;kg;;;;;;;;;;
2018;Arnold Australia;Max Deadlift;;;kg;;;;;17-inch frame deadlift;;;;;
2018;Arnold Australia;Tank Pull;10.0;;s;m;8000.0;8000.0;[8000.0];;;;;;
2018;Arnold Australia;Dumbbell Press;;;kg;;;;;;;;;;
2018;Arnold Australia;Atlas Stones;;;;;170.0;230.0;[170.0, 230.0];;;5.0;;5.0;
2018;Arnold Europe;Log Lift;;60.0;reps;;180.0;180.0;[180.0];;;;;;
2018;Arnold Europe;Super Yoke;25.0;;s;;455.0;455.0;[455.0];;;;;;
2018;Arnold Europe;Frame Carry;25.0;;m;reps;400.0;400.0;[400.0];;;;;;
2018;Arnold Europe;Deadlift;;60.0;reps;;365.0;365.0;[365.0];;;;;;
2018;Arnold Europe;Arm Over Arm Pull;;;s;m;;;;;;;;;
2018;Arnold South America;Farmer's Walk;;;;;170.0;170.0;[170.0];;;;;;
2018;Arnold South America;Log Lift;;60.0;reps;;175.0;175.0;[175.0];;;;;;
2018;Arnold South America;Bag Over Bar;4.8;;implements;;15.0;30.0;[15.0, 30.0];;;4.0;;1;['']
2018;Arnold South America;Deadlift;;;reps;;370.0;370.0;[370.0];;;;;;
2018;Arnold South America;Atlas Stones;;;stones;;130.0;180.0;[130.0, 180.0];;;6.0;;6.0;
2019;Arnold Africa;Max Deadlift;;;kg;;;;;;;;;;
2019;Arnold Africa;Farmer's Walk;20.0;;s;m;180.0;180.0;[180.0];;;;;;
2019;Arnold Africa;Truck Pull;;;s;;;;;;;;;;
2019;Arnold Africa;Super Yoke;20.0;;s;m;450.0;550.0;[450.0, 550.0];;;;;2;['', '']
2019;Arnold Africa;Stone Over Bar;;;reps;;220.0;220.0;[220.0];;;;;;
2019;Arnold Africa;Log Lift;;;reps;;180.0;180.0;[180.0];;;;;;
2019;Arnold Australia;Super Yoke;20.0;;s;m;500.0;500.0;[500.0];;;;;;
2019;Arnold Australia;Max Log Lift;;;kg;;;;;;;;;;
2019;Arnold Australia;Power Stairs;;;s;stairs;190.0;240.0;[190.0, 240.0];;;5.0;;1;['']
2019;Arnold Australia;Viking Press;;;reps;;160.0;160.0;[160.0];;;;;;
2019;Arnold Australia;Max Deadlift;;;kg;;;;;14-inch frame deadlift;;;;;
2019;Arnold Australia;Atlas Stones;;;s;reps;170.0;225.0;[170.0, 225.0];;;5.0;;5.0;
2019;Arnold Europe;Log Lift;;60.0;reps;;180.0;180.0;[180.0];;;;;;
2019;Arnold Europe;Super Yoke;25.0;;s;m;455.0;455.0;[455.0];;;;;;
2019;Arnold Europe;Farmer's Walk;25.0;;s;m;170.0;170.0;[170.0];;;;;;
2019;Arnold Europe;Deadlift;;60.0;reps;;365.0;365.0;[365.0];;;;;;
2019;Arnold Europe;Arm Over Arm Pull;;;s;m;;;;;;;;;
2019;Arnold South America;Arm Over Arm Pull;;;s;;600.0;600.0;[600.0];;;;;;
2019;Arnold South America;Dumbbell Press;;;reps;;120.0;120.0;[120.0];;;;;;
2019;Arnold South America;Super Yoke;20.0;;s;m;480.0;480.0;[480.0];;;;;;
2019;Arnold South America;Atlas Stones;;;s;stones;130.0;180.0;[130.0, 180.0];;;6;;6.0;
2019;Arnold South America;Deadlift;;;reps;;400.0;400.0;[400.0];Partial deadlift;;;;;
2019;Arnold USA;Truck Pull;;;s;;;;;;;;;;
2019;Arnold USA;Log Lift;;60.0;reps;;175.0;175.0;[175.0];;;;;;
2019;Arnold USA;Max Deadlift;;;kg;;;;;;;;;;
2019;Arnold USA;Sack Carry;;;m;;181.0;181.0;[181.0];;;;;;
2019;Arnold USA;Stone to Shoulder;;;reps;;170.0;170.0;[170.0];;;;;;
2019;Festival des Hommes Forts de Warwick;Super Yoke;;;;;475.0;475.0;[475.0];;;;;;
2019;Festival des Hommes Forts de Warwick;Viking Press;;;reps;;154.0;154.0;[154.0];;;;;;
2019;Festival des Hommes Forts de Warwick;Truck Pull;;;m;;;;;;;;;;
2019;Festival des Hommes Forts de Warwick;Atlas Stones;;;stones;;110.0;180.0;[110.0, 180.0];;;5.0;;5.0;
2019;Festival des Hommes Forts de Warwick;Deadlift;;;reps;;;;;Car deadlift, side handles;;;;;[]
2019;Festival des Hommes Forts de Warwick;Keg Toss;;;s;reps;18.0;25.0;[18.0, 25.0];;;8.0;;8.0;
2019;Festival des Hommes Forts de Warwick;Farmer's Walk;50.0;;;s;165.0;165.0;[165.0];;;;;1;['']
2019;Festival des Hommes Forts de Warwick;Medley;;;;;;;;;;0;;0;[]
2020;Arnold USA;Log Lift;;60.0;reps;;173.0;173.0;[173.0];;;;;;
2020;Arnold USA;Farmer's Walk;18.0;60.0;s;m;182.0;182.0;[182.0];;;;;;
2020;Arnold USA;Bag Over Bar;4.57;60.0;s;reps;22.5;36.0;[22.5, 36.0];;;5.0;;1;['']
2020;Arnold USA;Deadlift;;60.0;reps;;351.0;351.0;[351.0];;;;;;
2020;Arnold USA;Loading Race;9.0;60.0;s;reps;136.0;182.0;[136.0, 182.0];;;3;;3.0;
1997;Europe's Strongest Man;Truck Pull;15.0;90.0;s;;17000.0;17000.0;[17000.0];;;;;;
1997;Europe's Strongest Man;Tire Flip;20.0;;s;m;450.0;450.0;[450.0];;;;;;
1997;Europe's Strongest Man;Hercules Hold;;;s;;;;;;;;;;
1997;Europe's Strongest Man;Atlas Stones;;90.0;s;reps;100.0;160.0;[100.0, 160.0];;;5;;5.0;
1997;Europe's Strongest Man;Rock Press;;;kg;;;;;;;;;;
1997;Europe's Strongest Man;Power Stairs;;120.0;s;stairs;275.0;275.0;[275.0];;;18;;1;['']
2000;Europe's Strongest Man;Arm Over Arm Pull;;;s;;;;;;;;;;
2000;Europe's Strongest Man;Atlas Stones;;;s;reps;120.0;180.0;[120.0, 180.0];;;5.0;;5.0;
2000;Europe's Strongest Man;Rock Press;;;kg;;;;;;;;;;
2000;Europe's Strongest Man;Hercules Hold;;;s;;;;;;;;;;
2000;Europe's Strongest Man;Weight Throw;;;m;reps;25.0;25.0;[25.0];;;1;;1;
2000;Europe's Strongest Man;Medley;;;s;;;;;;;;;;[]
2001;Europe's Strongest Man;Truck Pull;20.0;;s;;10000.0;10000.0;[10000.0];;;;;;
2001;Europe's Strongest Man;Conan's Wheel;;;;;;;;;;;;;
2001;Europe's Strongest Man;Farmer's Walk;60.0;;s;m;132.0;132.0;[132.0];;;;;;
2001;Europe's Strongest Man;Deadlift;;60.0;reps;;300.0;300.0;[300.0];;;;;;
2001;Europe's Strongest Man;Loading Race;;75.0;s;reps;100.0;100.0;[100.0];;;4;;1;
2001;Europe's Strongest Man;Crucifix Hold;;;s;;25.0;25.0;[25.0];;;;;;
2001;Europe's Strongest Man;Wheelbarrow Carry;20.0;;s;;1100.0;1100.0;[1100.0];;;;;;
2002;Europe's Strongest Man;Tire Flip;;;s;;400.0;400.0;[400.0];;;;;;
2002;Europe's Strongest Man;Block Carry;;;m;;180.0;180.0;[180.0];;;;;;
2002;Europe's Strongest Man;Viking Press;;;reps;;125.0;125.0;[125.0];;;;;;
2002;Europe's Strongest Man;Conan's Wheel;;;;;;;;;;;;;
2002;Europe's Strongest Man;Medley;;;s;;120.0;200.0;[120.0, 200.0];;;4.0;;2;['sacks', 'duck walk']
2002;Europe's Strongest Man;Power Stairs;;;s;;250.0;250.0;[250.0];;;5.0;;1;['']
2003;Europe's Strongest Man;Power Stairs;;;s;stairs;280.0;280.0;[280.0];;;5.0;;1;['']
2003;Europe's Strongest Man;Conan's Wheel;;;;;;;;;;;;;
2003;Europe's Strongest Man;Atlas Stones;;;s;reps;120.0;160.0;[120.0, 160.0];;;5;;5.0;
2003;Europe's Strongest Man;Viking Press;;;reps;;;;;;;;;;
2003;Europe's Strongest Man;Farmer's Walk;25.0;;s;m;175.0;175.0;[175.0];;;;;;
2003;Europe's Strongest Man;Tire Flip;;;s;;400.0;400.0;[400.0];;;;;;
2003;Europe's Strongest Man;Hercules Hold;;;s;;;;;;;;;;
2005;Europe's Strongest Man;Farmer's Walk;;;s;m;170.0;170.0;[170.0];;;;;;
2005;Europe's Strongest Man;Truck Pull;;;s;;;;;;;;;;
2005;Europe's Strongest Man;Super Yoke;;;s;m;;;;;;;;;
2005;Europe's Strongest Man;Medley;;;s;;;;;;;;;;
2005;Europe's Strongest Man;Deadlift;;;reps;;;;;;;;;;
2005;Europe's Strongest Man;Atlas Stones;;;s;reps;;;;;;5;;5.0;
2005;Europe's Strongest Man;Power Stairs;;75.0;s;stairs;275.0;275.0;[275.0];;;5.0;;1;['']
2010;Europe's Strongest Man;Max Axle Press;;;kg;;;;;;;;;;
2010;Europe's Strongest Man;Farmer's Walk;40.0;;s;m;150.0;150.0;[150.0];;;;;;
2010;Europe's Strongest Man;Medley;;;s;;100.0;400.0;[400.0, 100.0];;;6.0;;2;['tire flip', 'sack loading']
2010;Europe's Strongest Man;Deadlift;;;reps;;;;;;;;;;
2010;Europe's Strongest Man;Atlas Stones;;;s;reps;;;;;;5;;5.0;
2012;Europe's Strongest Man;Max Log Lift;;;kg;;;;;;;;;;
2012;Europe's Strongest Man;Max Deadlift;;;kg;;;;;;;;;;
2012;Europe's Strongest Man;Frame Carry;40.0;;s;m;350.0;350.0;[350.0];;;;;;
2012;Europe's Strongest Man;Shield Carry;;;m;;190.0;190.0;[190.0];;;;;;
2012;Europe's Strongest Man;Overhead Medley;;;s;reps;100.0;155.0;[100.0, 155.0, 120.0];;;12.0;;3;['dumbbell', 'axle', 'block']
2012;Europe's Strongest Man;Loading Race;;;s;reps;120.0;120.0;[120.0, 120.0];;;16.0;;2;['kegs', 'sacks']
2013;Europe's Strongest Man;Max Log Lift;;;kg;;;;;;;;;;
2013;Europe's Strongest Man;Super Yoke;40.0;;s;m;400.0;400.0;[400.0];;;;;;
2013;Europe's Strongest Man;Deadlift;;;reps;;380.0;380.0;[380.0];Car deadlift, side handles;;;;;[]
2013;Europe's Strongest Man;Farmer's Walk;80.0;;s;m;125.0;125.0;[125.0];;;;;;
2013;Europe's Strongest Man;Keg Toss;4.88;;s;reps;18.0;25.0;[18.0, 25.0];;;8;;1;['']
2013;Europe's Strongest Man;Atlas Stones;;;s;reps;100.0;180.0;[100.0, 180.0];;;5;;5.0;
2014;Europe's Strongest Man;Max Deadlift;;;kg;;;;;;;;;;
2014;Europe's Strongest Man;Super Yoke;40.0;;s;;450.0;450.0;[450.0];;;;;;
2014;Europe's Strongest Man;Front Hold;;;s;;30.0;30.0;[30.0];;;;;;
2014;Europe's Strongest Man;Dumbbell Press;;60.0;reps;;100.0;100.0;[100.0];;;;;;
2014;Europe's Strongest Man;Atlas Stones;;;s;reps;100.0;200.0;[100.0, 200.0];;;6;;6.0;
2014;Europe's Strongest Man;Loading Race;;;s;reps;;;;;;4;;4.0;
2015;Europe's Strongest Man;Max Deadlift;;;kg;;;;;;;;;;
2015;Europe's Strongest Man;Medley;;;s;m;;;;;;;;;
2015;Europe's Strongest Man;Car Walk;30.0;;s;m;440.0;440.0;[440.0];;;;;;
2015;Europe's Strongest Man;Front Hold;;;s;;30.0;30.0;[30.0];;;;;;
2015;Europe's Strongest Man;Log Lift;;60.0;reps;;150.0;150.0;[150.0];;;;;;
2015;Europe's Strongest Man;Atlas Stones;;;s;reps;100.0;200.0;[100.0, 200.0];;;6;;6.0;
2016;Europe's Strongest Man;Max Deadlift;;;kg;;;;;;;;;;
2016;Europe's Strongest Man;Frame Carry;20.0;;s;;400.0;400.0;[400.0];;;;;;
2016;Europe's Strongest Man;Log Lift;;75.0;reps;;160.0;160.0;[160.0];;;;;;
2016;Europe's Strongest Man;Car Walk;20.0;;s;;450.0;450.0;[450.0];;;;;;
2016;Europe's Strongest Man;Atlas Stones;;;s;reps;140.0;200.0;[140.0, 200.0];;;5;;5.0;
2017;Europe's Strongest Man;Bus Pull;20.0;;s;m;8000.0;8000.0;[8000.0];;;;;;
2017;Europe's Strongest Man;Max Axle Press;;;kg;;;;;;;;;;
2017;Europe's Strongest Man;Flip & Drag;;;s;;;;;;;;;;
2017;Europe's Strongest Man;Deadlift;;60.0;reps;;363.0;363.0;[363.0];;;;;;
2017;Europe's Strongest Man;Car Walk;20.0;;s;;450.0;450.0;[450.0];;;;;;
